ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob,encoded_label,rA_rX,rB_rX,d_AX,d_BX,chi_A,Z_A,chi_B,Z_B,chi_X,Z_X,delta_chi_AX,delta_chi_BX
YGaO3,1,1,Y,Ga,O,3,3,-2,1.08,0.62,1.4,0.87,2.71,1,1,0.92,1,0.7714285714285716,0.4428571428571429,2.48,2.02,1.22,39.0,1.81,31.0,3.44,8.0,2.2199999999999998,1.63
GdMnO3,1,1,Gd,Mn,O,3,3,-2,1.11,0.64,1.4,0.87,2.7,1,1,0.92,1,0.7928571428571429,0.4571428571428572,2.51,2.04,1.2,64.0,1.55,25.0,3.44,8.0,2.24,1.89
GdNiO3,1,1,Gd,Ni,O,3,3,-2,1.11,0.6,1.4,0.89,2.37,1,1,0.95,1,0.7928571428571429,0.4285714285714286,2.51,2.0,1.2,64.0,1.91,28.0,3.44,8.0,2.24,1.53
GdScO3,1,1,Gd,Sc,O,3,3,-2,1.11,0.74,1.4,0.83,4.14,1,1,0.55,1,0.7928571428571429,0.5285714285714286,2.51,2.1399999999999997,1.2,64.0,1.36,21.0,3.44,8.0,2.24,2.08
GdTiO3,1,1,Gd,Ti,O,3,3,-2,1.11,0.67,1.4,0.86,2.96,1,1,0.9,1,0.7928571428571429,0.47857142857142865,2.51,2.07,1.2,64.0,1.54,22.0,3.44,8.0,2.24,1.9
GdVO3,1,1,Gd,V,O,3,3,-2,1.11,0.64,1.4,0.87,2.66,1,1,0.93,1,0.7928571428571429,0.4571428571428572,2.51,2.04,1.2,64.0,1.63,23.0,3.44,8.0,2.24,1.81
RbGeI3,-1,1,Rb,Ge,I,1,2,-1,1.72,0.73,2.2,0.95,4.76,1,-1,0.29,0,0.7818181818181817,0.3318181818181818,3.92,2.93,0.82,37.0,2.01,32.0,2.66,53.0,1.8400000000000003,0.6500000000000004
TlGeI3,-1,1,Tl,Ge,I,1,2,-1,1.7,0.73,2.2,0.94,4.77,1,-1,0.29,0,0.7727272727272726,0.3318181818181818,3.9000000000000004,2.93,1.8,81.0,2.01,32.0,2.66,53.0,0.8600000000000001,0.6500000000000004
MgGeO3,-1,1,Mg,Ge,O,2,4,-2,0.89,0.53,1.4,0.84,5.12,1,-1,0.19,0,0.6357142857142858,0.3785714285714286,2.29,1.93,1.31,12.0,2.01,32.0,3.44,8.0,2.13,1.4300000000000002
GeMnO3,-1,1,Ge,Mn,O,2,4,-2,0.73,0.53,1.4,0.78,7.25,-1,-1,0.02,0,0.5214285714285715,0.3785714285714286,2.13,1.93,2.01,32.0,1.55,25.0,3.44,8.0,1.4300000000000002,1.89
PbGeO3,1,1,Pb,Ge,O,2,4,-2,1.49,0.53,1.4,1.06,4.08,1,1,0.58,1,1.0642857142857143,0.3785714285714286,2.8899999999999997,1.93,1.8,82.0,2.01,32.0,3.44,8.0,1.64,1.4300000000000002
SrGeO3,1,1,Sr,Ge,O,2,4,-2,1.44,0.53,1.4,1.04,4.08,1,1,0.58,1,1.0285714285714287,0.3785714285714286,2.84,1.93,0.95,38.0,2.01,32.0,3.44,8.0,2.49,1.4300000000000002
PbHfO3,1,1,Pb,Hf,O,2,4,-2,1.49,0.71,1.4,0.97,3.63,1,1,0.76,1,1.0642857142857143,0.5071428571428571,2.8899999999999997,2.11,1.8,82.0,1.3,72.0,3.44,8.0,1.64,2.1399999999999997
SrHfO3,1,1,Sr,Hf,O,2,4,-2,1.44,0.71,1.4,0.95,3.71,1,1,0.73,1,1.0285714285714287,0.5071428571428571,2.84,2.11,0.95,38.0,1.3,72.0,3.44,8.0,2.49,2.1399999999999997
NaHgI3,-1,1,Na,Hg,I,1,2,-1,1.39,1.02,2.2,0.79,5.56,-1,-1,0.12,0,0.6318181818181817,0.4636363636363636,3.59,3.22,0.93,11.0,1.9,80.0,2.66,53.0,1.73,0.7600000000000002
HgSeO3,-1,1,Hg,Se,O,2,4,-2,1.14,0.5,1.4,0.95,4.33,1,-1,0.46,0,0.8142857142857143,0.35714285714285715,2.54,1.9,1.9,80.0,2.55,34.0,3.44,8.0,1.54,0.8900000000000001
HgTiO3,1,1,Hg,Ti,O,2,4,-2,1.14,0.6,1.4,0.9,4.26,1,-1,0.49,1,0.8142857142857143,0.4285714285714286,2.54,2.0,1.9,80.0,1.54,22.0,3.44,8.0,1.54,1.9
HoNiO3,1,1,Ho,Ni,O,3,3,-2,1.12,0.6,1.4,0.89,2.31,1,1,0.95,1,0.8000000000000002,0.4285714285714286,2.52,2.0,1.23,67.0,1.91,28.0,3.44,8.0,2.21,1.53
HoScO3,1,1,Ho,Sc,O,3,3,-2,1.12,0.74,1.4,0.83,3.94,1,1,0.64,1,0.8000000000000002,0.5285714285714286,2.52,2.1399999999999997,1.23,67.0,1.36,21.0,3.44,8.0,2.21,2.08
HoTiO3,1,1,Ho,Ti,O,3,3,-2,1.12,0.67,1.4,0.86,2.85,1,1,0.91,1,0.8000000000000002,0.47857142857142865,2.52,2.07,1.23,67.0,1.54,22.0,3.44,8.0,2.21,1.9
ILiO3,-1,1,I,Li,O,5,1,-2,0.95,0.76,1.4,0.77,4.85,-1,-1,0.26,0,0.6785714285714286,0.5428571428571429,2.3499999999999996,2.16,2.66,53.0,0.98,3.0,3.44,8.0,0.7799999999999998,2.46
NaIO3,1,1,Na,I,O,1,5,-2,1.39,0.95,1.4,0.84,4.32,1,-1,0.47,1,0.9928571428571429,0.6785714285714286,2.79,2.3499999999999996,0.93,11.0,2.66,53.0,3.44,8.0,2.51,0.7799999999999998
TlIO3,1,1,Tl,I,O,1,5,-2,1.7,0.95,1.4,0.93,3.55,1,1,0.78,1,1.2142857142857144,0.6785714285714286,3.0999999999999996,2.3499999999999996,1.8,81.0,2.66,53.0,3.44,8.0,1.64,0.7799999999999998
KMgI3,-1,1,K,Mg,I,1,2,-1,1.64,0.72,2.2,0.93,4.82,1,-1,0.27,0,0.7454545454545454,0.3272727272727272,3.84,2.92,0.82,19.0,1.31,12.0,2.66,53.0,1.8400000000000003,1.35
KMnI3,-1,1,K,Mn,I,1,2,-1,1.64,0.83,2.2,0.9,4.55,1,-1,0.36,0,0.7454545454545454,0.3772727272727272,3.84,3.0300000000000002,0.82,19.0,1.55,25.0,2.66,53.0,1.8400000000000003,1.11
KTiI3,-1,1,K,Ti,I,1,2,-1,1.64,0.86,2.2,0.89,4.51,1,-1,0.38,0,0.7454545454545454,0.3909090909090909,3.84,3.06,0.82,19.0,1.54,22.0,2.66,53.0,1.8400000000000003,1.12
KTmI3,-1,1,K,Tm,I,1,2,-1,1.64,1.03,2.2,0.84,4.56,1,-1,0.36,0,0.7454545454545454,0.46818181818181814,3.84,3.2300000000000004,0.82,19.0,1.25,69.0,2.66,53.0,1.8400000000000003,1.4100000000000001
LiMgI3,-1,1,Li,Mg,I,1,2,-1,0.92,0.72,2.2,0.76,7.27,-1,-1,0.02,0,0.41818181818181815,0.3272727272727272,3.12,2.92,0.98,3.0,1.31,12.0,2.66,53.0,1.6800000000000002,1.35
NaMgI3,-1,1,Na,Mg,I,1,2,-1,1.39,0.72,2.2,0.87,4.99,1,-1,0.22,0,0.6318181818181817,0.3272727272727272,3.59,2.92,0.93,11.0,1.31,12.0,2.66,53.0,1.73,1.35
RbMgI3,-1,1,Rb,Mg,I,1,2,-1,1.72,0.72,2.2,0.95,4.8,1,-1,0.28,0,0.7818181818181817,0.3272727272727272,3.92,2.92,0.82,37.0,1.31,12.0,2.66,53.0,1.8400000000000003,1.35
RbMnI3,-1,1,Rb,Mn,I,1,2,-1,1.72,0.83,2.2,0.91,4.49,1,-1,0.39,0,0.7818181818181817,0.3772727272727272,3.92,3.0300000000000002,0.82,37.0,1.55,25.0,2.66,53.0,1.8400000000000003,1.11
TlMnI3,-1,1,Tl,Mn,I,1,2,-1,1.7,0.83,2.2,0.91,4.51,1,-1,0.38,0,0.7727272727272726,0.3772727272727272,3.9000000000000004,3.0300000000000002,1.8,81.0,1.55,25.0,2.66,53.0,0.8600000000000001,1.11
TlPbI3,-1,1,Tl,Pb,I,1,2,-1,1.7,1.19,2.2,0.81,4.85,-1,-1,0.26,0,0.7727272727272726,0.5409090909090909,3.9000000000000004,3.39,1.8,81.0,1.8,82.0,2.66,53.0,0.8600000000000001,0.8600000000000001
RbSnI3,-1,1,Rb,Sn,I,1,2,-1,1.72,1.15,2.2,0.83,4.63,1,-1,0.33,0,0.7818181818181817,0.5227272727272726,3.92,3.35,0.82,37.0,1.96,50.0,2.66,53.0,1.8400000000000003,0.7000000000000002
RbTiI3,-1,1,Rb,Ti,I,1,2,-1,1.72,0.86,2.2,0.91,4.44,1,-1,0.41,0,0.7818181818181817,0.3909090909090909,3.92,3.06,0.82,37.0,1.54,22.0,2.66,53.0,1.8400000000000003,1.12
RbTmI3,1,1,Rb,Tm,I,1,2,-1,1.72,1.03,2.2,0.86,4.39,1,-1,0.43,1,0.7818181818181817,0.46818181818181814,3.92,3.2300000000000004,0.82,37.0,1.25,69.0,2.66,53.0,1.8400000000000003,1.4100000000000001
RbVI3,-1,1,Rb,V,I,1,2,-1,1.72,0.79,2.2,0.93,4.58,1,-1,0.35,0,0.7818181818181817,0.35909090909090907,3.92,2.99,0.82,37.0,1.63,23.0,2.66,53.0,1.8400000000000003,1.0300000000000002
LaInO3,1,1,La,In,O,3,3,-2,1.36,0.8,1.4,0.89,2.36,1,1,0.95,1,0.9714285714285715,0.5714285714285715,2.76,2.2,1.1,57.0,1.78,49.0,3.44,8.0,2.34,1.66
InMnO3,-1,1,In,Mn,O,3,3,-2,0.92,0.64,1.4,0.8,5.22,-1,-1,0.17,0,0.6571428571428573,0.4571428571428572,2.32,2.04,1.78,49.0,1.55,25.0,3.44,8.0,1.66,1.89
NdInO3,1,1,Nd,In,O,3,3,-2,1.27,0.8,1.4,0.86,3.05,1,1,0.89,1,0.9071428571428573,0.5714285714285715,2.67,2.2,1.14,60.0,1.78,49.0,3.44,8.0,2.3,1.66
SmInO3,1,1,Sm,In,O,3,3,-2,1.24,0.8,1.4,0.85,3.36,1,1,0.83,1,0.8857142857142858,0.5714285714285715,2.6399999999999997,2.2,1.17,62.0,1.78,49.0,3.44,8.0,2.27,1.66
SrIrO3,1,1,Sr,Ir,O,2,4,-2,1.44,0.62,1.4,0.99,3.76,1,1,0.72,1,1.0285714285714287,0.4428571428571429,2.84,2.02,0.95,38.0,2.2,77.0,3.44,8.0,2.49,1.2399999999999998
KNO3,-1,1,K,N,O,1,5,-2,1.64,0.13,1.4,1.4,14.75,-1,-1,0.0,0,1.1714285714285715,0.09285714285714286,3.04,1.5299999999999998,0.82,19.0,3.04,7.0,3.44,8.0,2.62,0.3999999999999999
KNbO3,1,1,K,Nb,O,1,5,-2,1.64,0.64,1.4,1.05,3.91,1,1,0.66,1,1.1714285714285715,0.4571428571428572,3.04,2.04,0.82,19.0,1.6,41.0,3.44,8.0,2.62,1.8399999999999999
KPO3,-1,1,K,P,O,1,5,-2,1.64,0.38,1.4,1.21,5.64,-1,-1,0.11,0,1.1714285714285715,0.27142857142857146,3.04,1.7799999999999998,0.82,19.0,2.19,15.0,3.44,8.0,2.62,1.25
KSbO3,-1,1,K,Sb,O,1,5,-2,1.64,0.6,1.4,1.07,4.05,-1,1,0.59,0,1.1714285714285715,0.4285714285714286,3.04,2.0,0.82,19.0,2.05,51.0,3.44,8.0,2.62,1.3900000000000001
KTaO3,1,1,K,Ta,O,1,5,-2,1.64,0.64,1.4,1.05,3.91,1,1,0.66,1,1.1714285714285715,0.4571428571428572,3.04,2.04,0.82,19.0,1.5,73.0,3.44,8.0,2.62,1.94
KUO3,1,1,K,U,O,1,5,-2,1.64,0.76,1.4,1.0,3.65,1,1,0.76,1,1.1714285714285715,0.5428571428571429,3.04,2.16,0.82,19.0,1.7,92.0,3.44,8.0,2.62,1.74
KVO3,-1,1,K,V,O,1,5,-2,1.64,0.54,1.4,1.11,4.33,-1,-1,0.46,0,1.1714285714285715,0.3857142857142858,3.04,1.94,0.82,19.0,1.63,23.0,3.44,8.0,2.62,1.81
LaLuO3,1,1,La,Lu,O,3,3,-2,1.36,0.86,1.4,0.86,2.99,1,1,0.89,1,0.9714285714285715,0.6142857142857143,2.76,2.26,1.1,57.0,1.0,71.0,3.44,8.0,2.34,2.44
LaMnO3,1,1,La,Mn,O,3,3,-2,1.36,0.64,1.4,0.95,1.65,1,1,0.98,1,0.9714285714285715,0.4571428571428572,2.76,2.04,1.1,57.0,1.55,25.0,3.44,8.0,2.34,1.89
LaNiO3,1,1,La,Ni,O,3,3,-2,1.36,0.6,1.4,0.98,1.64,1,1,0.98,1,0.9714285714285715,0.4285714285714286,2.76,2.0,1.1,57.0,1.91,28.0,3.44,8.0,2.34,1.53
LaScO3,1,1,La,Sc,O,3,3,-2,1.36,0.74,1.4,0.91,1.98,1,1,0.97,1,0.9714285714285715,0.5285714285714286,2.76,2.1399999999999997,1.1,57.0,1.36,21.0,3.44,8.0,2.34,2.08
LaTiO3,1,1,La,Ti,O,3,3,-2,1.36,0.67,1.4,0.94,1.69,1,1,0.98,1,0.9714285714285715,0.47857142857142865,2.76,2.07,1.1,57.0,1.54,22.0,3.44,8.0,2.34,1.9
LaTlO3,-1,1,La,Tl,O,3,3,-2,1.36,0.88,1.4,0.85,3.31,1,1,0.84,0,0.9714285714285715,0.6285714285714287,2.76,2.28,1.1,57.0,1.8,81.0,3.44,8.0,2.34,1.64
LaTmO3,1,1,La,Tm,O,3,3,-2,1.36,0.88,1.4,0.86,3.24,1,1,0.86,1,0.9714285714285715,0.6285714285714287,2.76,2.28,1.1,57.0,1.25,69.0,3.44,8.0,2.34,2.19
LaVO3,1,1,La,V,O,3,3,-2,1.36,0.64,1.4,0.96,1.64,1,1,0.98,1,0.9714285714285715,0.4571428571428572,2.76,2.04,1.1,57.0,1.63,23.0,3.44,8.0,2.34,1.81
